Rank,Release Group,Worldwide,Domestic,%,Foreign,%.1,filename,year
576,Buddy,"$31,203","$31,203",100%,-,-,2019.csv,2019
577,Pasolini 2019 Re-release,"$30,757","$30,757",100%,-,-,2019.csv,2019
578,Los Reyes,"$30,418","$30,418",100%,-,-,2019.csv,2019
579,Lionel Richie at Glastonbury,"$30,123","$30,123",100%,-,-,2019.csv,2019
580,The Perfect Race,"$29,644","$29,644",100%,-,-,2019.csv,2019
581,The Ground Beneath My Feet,"$29,251","$29,251",100%,-,-,2019.csv,2019
582,Batman & Robin 2019 Re-release,"$28,793","$28,597",99.3%,$196,0.7%,2019.csv,2019
583,The Load,"$28,410","$28,410",100%,-,-,2019.csv,2019
584,El Norte 2019 Re-release,"$27,920","$27,920",100%,-,-,2019.csv,2019
585,Bauhaus Spirit: 100 Years of Bauhaus,"$27,768","$17,122",61.7%,"$10,646",38.3%,2019.csv,2019
586,"Leaving Home, Coming Home: A Portrait of Robert Frank","$27,073","$27,073",100%,-,-,2019.csv,2019
587,Wrestle,"$26,597","$26,597",100%,-,-,2019.csv,2019
588,Rosie,"$26,441","$6,839",25.9%,"$19,602",74.1%,2019.csv,2019
589,Donnybrook,"$26,284","$26,284",100%,-,-,2019.csv,2019
590,Hyènes,"$24,672","$24,672",100%,-,-,2019.csv,2019
591,The Aspern Papers,"$24,554","$9,277",37.8%,"$15,277",62.2%,2019.csv,2019
592,Chasing Einstein,"$24,057","$24,057",100%,-,-,2019.csv,2019
593,Robert the Bruce,"$23,425",-,-,"$23,425",100%,2019.csv,2019
594,Ode to Joy,"$22,594","$17,303",76.6%,"$5,291",23.4%,2019.csv,2019
595,The Sound of Silence,"$21,994","$20,013",91%,"$1,981",9%,2019.csv,2019
596,Wicked Witches,"$21,600","$21,600",100%,-,-,2019.csv,2019
597,Round of Your Life,"$20,941","$20,941",100%,-,-,2019.csv,2019
598,General Magic,"$20,046","$20,046",100%,-,-,2019.csv,2019
599,The Gospel of Eureka,"$20,039","$20,039",100%,-,-,2019.csv,2019
600,Scandalous: The True Story of the National Enquirer,"$18,759","$18,759",100%,-,-,2019.csv,2019
601,Before Stonewall,"$18,724","$18,724",100%,-,-,2019.csv,2019
602,The Return of Martin Guerre 2019 Re-release,"$18,603","$18,603",100%,-,-,2019.csv,2019
603,"Phoenix, Oregon","$18,356","$18,356",100%,-,-,2019.csv,2019
604,The Cranes Are Flying,"$17,923","$17,923",100%,-,-,2019.csv,2019
605,Chained for Life,"$17,431","$17,431",100%,-,-,2019.csv,2019
606,Joseph Pulitzer: Voice of the People,"$16,970","$16,970",100%,-,-,2019.csv,2019
607,Virginia Minnesota,"$16,118","$16,118",100%,-,-,2019.csv,2019
608,Starfish,"$15,849","$15,849",100%,-,-,2019.csv,2019
609,Trinity Seven The Movie 2: Heavens Library & Crimson Lord,"$15,712","$15,712",100%,-,-,2019.csv,2019
610,The Competition 2019 Re-release,"$15,622","$15,622",100%,-,-,2019.csv,2019
611,Stuffed,"$15,532","$15,532",100%,-,-,2019.csv,2019
612,Between the Lines,"$15,383","$15,383",100%,-,-,2019.csv,2019
613,Funan,"$15,152","$15,152",100%,-,-,2019.csv,2019
614,Wrinkles the Clown,"$14,938","$14,938",100%,-,-,2019.csv,2019
615,ZZ Top: That Little Ol' Band from Texas,"$14,879","$14,879",100%,-,-,2019.csv,2019
616,My Son 2019 Re-release,"$14,450","$14,450",100%,-,-,2019.csv,2019
617,Combat Obscura,"$14,242","$14,242",100%,-,-,2019.csv,2019
618,Screwball,"$13,967","$13,967",100%,-,-,2019.csv,2019
619,Genesis,"$13,856","$6,784",49%,"$7,072",51%,2019.csv,2019
620,This One's for the Ladies,"$13,688","$13,688",100%,-,-,2019.csv,2019
621,Rapid Response,"$13,294","$13,294",100%,-,-,2019.csv,2019
622,Off Season,"$12,544","$12,544",100%,-,-,2019.csv,2019
623,Bricked,"$12,201","$12,201",100%,-,-,2019.csv,2019
624,Zen for Nothing,"$12,107","$12,107",100%,-,-,2019.csv,2019
625,Imprisoned,"$12,050","$12,050",100%,-,-,2019.csv,2019
626,Quartet,"$12,042","$12,042",100%,-,-,2019.csv,2019
627,"Cassandro, The Exotico!","$11,897","$11,897",100%,-,-,2019.csv,2019
628,In Like Flynn,"$11,255","$11,255",100%,-,-,2019.csv,2019
629,Made Me Do It,"$11,151","$11,151",100%,-,-,2019.csv,2019
630,Suburban Birds,"$10,997","$10,997",100%,-,-,2019.csv,2019
631,If the Dancer Dances,"$10,912","$10,912",100%,-,-,2019.csv,2019
632,Vision Portraits,"$10,771","$10,771",100%,-,-,2019.csv,2019
633,When Lambs Become Lions,"$10,197","$9,337",91.6%,$860,8.4%,2019.csv,2019
634,Olivia,"$9,934","$9,934",100%,-,-,2019.csv,2019
635,Streetwise,"$9,904","$9,904",100%,-,-,2019.csv,2019
636,The Spanish Prisoner 2019 Re-release,"$9,589","$9,589",100%,-,-,2019.csv,2019
637,Fritz Lang's Indian Epic 2019 re-release,"$9,345","$9,345",100%,-,-,2019.csv,2019
638,A Dark Place,"$9,212",-,-,"$9,212",100%,2019.csv,2019
639,Cracked Up,"$9,197","$9,197",100%,-,-,2019.csv,2019
640,Frantz Fanon: Black Skin White Mask,"$9,025","$9,025",100%,-,-,2019.csv,2019
641,The Meanest Man in Texas,"$8,850","$8,850",100%,-,-,2019.csv,2019
642,That Part Feeling - the Universe of Arvo Part,"$8,812","$8,812",100%,-,-,2019.csv,2019
643,The Dead Center,"$8,320","$8,320",100%,-,-,2019.csv,2019
644,Angels Are Made Of Light,"$7,919","$7,919",100%,-,-,2019.csv,2019
645,This Magnificent Cake!,"$7,888","$7,888",100%,-,-,2019.csv,2019
646,Ghost Fleet,"$7,850","$7,850",100%,-,-,2019.csv,2019
647,The Plagiarists,"$7,768","$7,768",100%,-,-,2019.csv,2019
648,Gregory's Girl,"$7,710","$7,710",100%,-,-,2019.csv,2019
649,I'll Take Your Dead,"$7,692","$7,692",100%,-,-,2019.csv,2019
650,Beloved Beast,"$7,301","$7,301",100%,-,-,2019.csv,2019
651,Dying to Survive 2019 Re-release,"$6,752","$6,752",100%,-,-,2019.csv,2019
652,Under the Eiffel Tower,"$6,291","$6,291",100%,-,-,2019.csv,2019
653,Relaxer,"$6,133","$6,133",100%,-,-,2019.csv,2019
654,Série noire,"$5,633","$5,633",100%,-,-,2019.csv,2019
655,The Miracle of the Little Prince,"$5,553","$5,553",100%,-,-,2019.csv,2019
656,Chokehold,"$5,200","$5,200",100%,-,-,2019.csv,2019
657,The Gliksmans,"$5,166","$5,166",100%,-,-,2019.csv,2019
658,100 Acres of Hell,"$5,152","$5,152",100%,-,-,2019.csv,2019
659,Body at Brighton Rock,"$5,123","$5,123",100%,-,-,2019.csv,2019
660,Chulas Fronteras,"$5,021","$5,021",100%,-,-,2019.csv,2019
661,The Garden,"$5,006","$5,006",100%,-,-,2019.csv,2019
662,Malek,"$4,898","$4,898",100%,-,-,2019.csv,2019
663,I'm Leaving Now,"$4,488","$4,488",100%,-,-,2019.csv,2019
664,SGT. Will Gardner,"$4,405","$4,405",100%,-,-,2019.csv,2019
665,Tito and the Birds,"$4,332","$4,332",100%,-,-,2019.csv,2019
666,The Fate of Lee Khan,"$4,295","$4,295",100%,-,-,2019.csv,2019
667,State Like Sleep,"$4,282","$4,282",100%,-,-,2019.csv,2019
668,La Flor,"$4,032","$4,032",100%,-,-,2019.csv,2019
669,Mother of a Day,"$3,919","$3,919",100%,-,-,2019.csv,2019
670,Wallflower,"$3,801","$3,801",100%,-,-,2019.csv,2019
671,The Wandering Soap Opera,"$3,624","$3,624",100%,-,-,2019.csv,2019
672,Rottentail,"$3,383","$3,383",100%,-,-,2019.csv,2019
673,Chasing Portraits,"$3,076","$3,076",100%,-,-,2019.csv,2019
674,Back to the Fatherland,"$2,697","$2,697",100%,-,-,2019.csv,2019
675,Joan the Maid 1: The Battles,"$2,562","$2,562",100%,-,-,2019.csv,2019
676,TINY: The Life of Erin Blackwell,"$2,465","$2,465",100%,-,-,2019.csv,2019
677,I Lost Albert 2019 Re-release,"$2,354","$2,354",100%,-,-,2019.csv,2019
678,A German Youth,"$2,343","$2,343",100%,-,-,2019.csv,2019
679,Serendipity,"$2,298","$2,298",100%,-,-,2019.csv,2019
680,Jihadists,"$2,104","$2,104",100%,-,-,2019.csv,2019
681,Jimi Hendrix Electric Church,"$1,818",-,-,"$1,818",100%,2019.csv,2019
682,Game Day,"$1,624","$1,624",100%,-,-,2019.csv,2019
683,The Hours and Times,"$1,273","$1,273",100%,-,-,2019.csv,2019
684,The Untold Story,$790,$790,100%,-,-,2019.csv,2019
685,The Portal,$685,-,-,$685,100%,2019.csv,2019
1,Bad Boys for Life,"$425,514,702","$204,417,855",48%,"$221,096,847",52%,2020.csv,2020
2,Sonic the Hedgehog,"$306,766,470","$146,066,470",47.6%,"$160,700,000",52.4%,2020.csv,2020
3,Dolittle,"$227,908,130","$77,047,065",33.8%,"$150,861,065",66.2%,2020.csv,2020
4,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,"$201,858,461","$84,158,461",41.7%,"$117,700,000",58.3%,2020.csv,2020
5,The Invisible Man,"$124,549,496","$64,914,050",52.1%,"$59,635,446",47.9%,2020.csv,2020
6,The Gentlemen,"$117,769,345","$36,296,853",30.8%,"$81,472,492",69.2%,2020.csv,2020
7,The Call of the Wild,"$107,604,626","$62,342,368",57.9%,"$45,262,258",42.1%,2020.csv,2020
8,The Grudge,"$49,511,319","$21,221,803",42.9%,"$28,289,516",57.1%,2020.csv,2020
9,Fantasy Island,"$48,607,556","$26,441,782",54.4%,"$22,165,774",45.6%,2020.csv,2020
10,Underwater,"$40,882,928","$17,291,078",42.3%,"$23,591,850",57.7%,2020.csv,2020
11,Like a Boss,"$29,753,143","$22,169,514",74.5%,"$7,583,629",25.5%,2020.csv,2020
12,Bloodshot,"$29,749,454","$10,021,787",33.7%,"$19,727,667",66.3%,2020.csv,2020
13,Emma.,"$25,155,355","$10,055,355",40%,"$15,100,000",60%,2020.csv,2020
14,Gretel & Hansel,"$21,984,429","$15,347,654",69.8%,"$6,636,775",30.2%,2020.csv,2020
15,Brahms: The Boy II,"$20,311,536","$12,611,536",62.1%,"$7,700,000",37.9%,2020.csv,2020
16,The Turning,"$18,474,062","$15,472,775",83.8%,"$3,001,287",16.2%,2020.csv,2020
17,The Way Back,"$14,690,514","$13,590,514",92.5%,"$1,100,000",7.5%,2020.csv,2020
18,La Belle Époque,"$14,298,084",-,-,"$14,298,084",100%,2020.csv,2020
19,I Still Believe,"$10,482,561","$9,868,521",94.1%,"$614,040",5.9%,2020.csv,2020
20,The Hunt,"$6,512,500","$5,812,500",89.3%,"$700,000",10.7%,2020.csv,2020
21,Las Pildoras De Mi Novio,"$6,292,780","$2,971,116",47.2%,"$3,321,664",52.8%,2020.csv,2020
22,The Rhythm Section,"$5,989,583","$5,437,971",90.8%,"$551,612",9.2%,2020.csv,2020
23,My Spy,"$4,405,156",-,-,"$4,405,156",100%,2020.csv,2020
24,The Last Full Measure,"$3,006,059","$2,949,212",98.1%,"$56,847",1.9%,2020.csv,2020
25,The Lodge,"$2,679,438","$1,666,564",62.2%,"$1,012,874",37.8%,2020.csv,2020
26,Trolls World Tour,"$1,758,185",-,-,"$1,758,185",100%,2020.csv,2020
27,Blind Eyes Opened,"$234,505","$234,505",100%,-,-,2020.csv,2020
28,Burden,"$139,270","$139,270",100%,-,-,2020.csv,2020
29,"14 Days, 12 Nights","$122,806","$122,530",99.8%,$276,0.2%,2020.csv,2020
30,First Cow,"$101,068","$101,068",100%,-,-,2020.csv,2020
31,Run,"$4,052",-,-,"$4,052",100%,2020.csv,2020
32,A Quiet Place Part II,$163,-,-,$163,100%,2020.csv,2020
