Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
832,Leaning Into The Wind,452372,400530,51842,2018.csv,2018,88.5%,11.5%
833,Cruel Intentions 2019 Re-release,445218,445218,0,2019.csv,2019,100%,-
834,Porco Rosso 2018 Re-release,443059,443059,0,2018.csv,2018,100%,-
835,Elf 2018 Re-release,442073,442073,0,2018.csv,2018,100%,-
836,We the Animals,434743,400961,33782,2018.csv,2018,92.2%,7.8%
837,What We Left Behind: Star Trek DS9,434437,382457,51980,2019.csv,2019,88%,12%
838,DCI 2018 Tour Premeire,434008,434008,0,2018.csv,2018,100%,-
839,The Sower,433112,36233,396879,2018.csv,2018,8.4%,91.6%
840,Andy Irons: Kissed by God,430393,285933,144460,2018.csv,2018,66.4%,33.6%
841,Killing Sarai,425332,425332,0,2019.csv,2019,100%,-
842,Cirque du Soleil in Cinema: KURIOS - Cabinet of Curiosities,422760,413039,9721,2018.csv,2018,97.7%,2.3%
843,Ben-Hur 2019 Re-release,422622,422622,0,2019.csv,2019,100%,-
844,The Cold Blue,420177,420177,0,2019.csv,2019,100%,-
845,Frankenstein 2018 Re-release,417783,417783,0,2018.csv,2018,100%,-
846,Happy Phirr Bhag Jayegi,417669,103385,314284,2018.csv,2018,24.8%,75.2%
847,Status Update,416178,4764,411414,2018.csv,2018,1.1%,98.9%
848,The Reliant,408747,408747,0,2019.csv,2019,100%,-
849,Vertigo 2018 Re-release,408560,394212,14348,2018.csv,2018,96.5%,3.5%
850,Please Stand By,406732,9868,396864,2018.csv,2018,2.4%,97.6%
851,The Philadelphia Story 2018 Re-release,404524,404524,0,2018.csv,2018,100%,-
852,The Oath,401463,401463,0,2018.csv,2018,100%,-
853,"Hello, Dolly!",400881,400881,0,2019.csv,2019,100%,-
854,West Side Story 2018 Re-release,398670,398670,0,2018.csv,2018,100%,-
855,Space Mutiny,397887,397887,0,2018.csv,2018,100%,-
856,Krull 2018 Re-release,397157,397157,0,2018.csv,2018,100%,-
857,The Escape,390881,14018,376863,2018.csv,2018,3.6%,96.4%
858,"Westwood: Punk, Icon, Activist",386856,58979,327877,2018.csv,2018,15.2%,84.8%
859,The Wedding Guest,386166,386166,0,2019.csv,2019,100%,-
